Table_A,Column_A,Table_B,Column_B,label,result
link_type_attribute_type,link_type,link_type,id,1,0
work_tag_raw,tag,tag,id,1,0
l_artist_label,entity0,artist,id,1,0
l_area_work,entity1_credit,series_ordering_type,description,0,0
l_event_event,entity1_credit,work_alias_type,name,0,0
release_group_annotation,release_group,release_group,id,1,0
label_tag_raw,tag,tag,id,1,0
l_artist_event,entity1_credit,event_alias_type,name,0,0
l_label_series,entity1_credit,label_alias_type,name,0,0
l_area_event,link,work_attribute,id,0,0
l_label_recording,entity1_credit,release_group_secondary_type,description,0,0
instrument_alias_type,id,area_type,id,0,0
series_annotation,series,series,id,1,0
editor_collection_area,comment,area_alias_type,name,0,0
event_type,child_order,country_area,area,0,0
l_release_group_release_group,entity1,release_group,id,1,0
l_event_recording,entity0_credit,instrument_alias_type,name,0,0
l_artist_event,entity1_credit,work_alias_type,name,0,0
editor_collection_recording,collection,editor_collection,id,1,0
release_group_primary_type,child_order,work_attribute_type_allowed_value,id,0,0
l_release_url,link_order,series_ordering_type,child_order,0,0
area_tag,tag,tag,id,1,1
place_annotation,annotation,annotation,id,1,0
editor_subscribe_artist,editor,editor,id,1,0
instrument,edits_pending,series_ordering_type,child_order,0,0
l_series_url,link,link,id,1,0
edit_release_group,release_group,release_group,id,1,1
recording_annotation,annotation,annotation,id,1,0
series_type,id,genre_alias,id,0,0
l_area_url,entity0_credit,instrument_alias_type,name,0,0
artist_alias_type,id,series_type,id,0,0
label_meta,id,label,id,1,0
l_area_area,entity0,area,id,1,0
l_artist_release,entity1_credit,genre_alias_type,name,0,0
series_gid_redirect,new_id,series,id,1,0
instrument_annotation,instrument,work_alias,id,0,0
label_alias,label,label,id,1,0
l_event_label,entity0_credit,artist_alias_type,name,0,0
l_series_url,entity1,url,id,1,0
l_series_series,entity0_credit,area_alias_type,name,0,0
l_artist_series,link,link,id,1,1
l_artist_event,link,link,id,1,0
l_artist_recording,entity1_credit,area_type,description,0,0
l_artist_label,entity1,label,id,1,0
l_recording_release,entity0_credit,place_alias_type,name,0,0
work_rating_raw,work,work,id,1,0
l_event_release_group,entity0_credit,release_group_secondary_type,description,0,0
l_work_work,entity1,work,id,1,1
l_recording_recording,link,link,id,1,0
l_area_event,entity0,area,id,1,0
l_artist_work,entity1,work_meta,id,0,1
link_attribute,attribute_type,link_attribute_type,id,1,0
